"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","1,168","32","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 12:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","19","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","22","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","163","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","112","16","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","72","4","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","69","3","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","123","2","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","47","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","47","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","24","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","98","9","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","69","7","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","64","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","17","2","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","38","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","16","2","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","73","5","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 01:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","5","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","1,166","56","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","70","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 04:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","24","2","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 03:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","127","8","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 03:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","98","5","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 03:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","33","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 03:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","35","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 03:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","54","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","25","2","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 02:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","34","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 04:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","213","11","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 04:00:00 PM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","55","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
